season,date,home_team,home_total,away_team,away_total,mp,home_fg,home_fga,home_fg%,home_3p,home_3pa,home_3p%,home_ft,home_fta,home_ft%,home_orb,home_drb,home_trb,home_ast,home_stl,home_blk,home_tov,home_pf,home_pts,home_+/-,home_ts%,home_efg%,home_3par,home_ftr,home_orb%,home_drb%,home_trb%,home_ast%,home_stl%,home_blk%,home_tov%,home_usg%,home_ortg,home_drtg,away_fg,away_fga,away_fg%,away_3p,away_3pa,away_3p%,away_ft,away_fta,away_ft%,away_orb,away_drb,away_trb,away_ast,away_stl,away_blk,away_tov,away_pf,away_pts,away_+/-,away_ts%,away_efg%,away_3par,away_ftr,away_orb%,away_drb%,away_trb%,away_ast%,away_stl%,away_blk%,away_tov%,away_usg%,away_ortg,away_drtg,home_won
2023,2022-10-19,DAL,105,PHO,107,240,35,75,0.467,14,35,0.4,21,34,0.618,5,35,40,17,6,4,12,22,105,,0.584,0.56,0.467,0.453,13.5,81.4,50.0,48.6,6.3,6.3,11.8,100,109.6,111.7,40,85,0.471,8,22,0.364,19,22,0.864,8,32,40,25,4,5,12,29,107,,0.565,0.518,0.259,0.259,18.6,86.5,50.0,62.5,4.2,12.5,11.2,100,111.7,109.6,False
2023,2022-10-19,WAS,114,IND,107,240,42,92,0.457,11,31,0.355,19,24,0.792,14,39,53,21,5,10,17,19,114,,0.556,0.516,0.337,0.261,31.8,76.5,55.8,50.0,4.8,18.2,14.2,100,109.9,103.2,39,97,0.402,15,42,0.357,14,21,0.667,12,30,42,21,7,5,15,20,107,,0.504,0.479,0.433,0.216,23.5,68.2,44.2,53.8,6.8,8.2,12.4,100,103.7,110.5,True
2023,2022-10-19,IND,107,WAS,114,240,39,97,0.402,15,42,0.357,14,21,0.667,12,30,42,21,7,5,15,20,107,,0.504,0.479,0.433,0.216,23.5,68.2,44.2,53.8,6.8,8.2,12.4,100,103.7,110.5,42,92,0.457,11,31,0.355,19,24,0.792,14,39,53,21,5,10,17,19,114,,0.556,0.516,0.337,0.261,31.8,76.5,55.8,50.0,4.8,18.2,14.2,100,109.9,103.2,False
2023,2022-10-19,UTA,123,DEN,102,240,42,83,0.506,16,38,0.421,23,31,0.742,11,32,43,27,10,1,20,21,123,,0.636,0.602,0.458,0.373,30.6,76.2,55.1,64.3,9.9,1.6,17.1,100,121.6,100.9,40,83,0.482,5,22,0.227,17,18,0.944,10,25,35,21,10,3,21,23,102,,0.561,0.512,0.265,0.217,23.8,69.4,44.9,52.5,9.9,6.7,18.8,100,101.4,122.2,True
2023,2022-10-19,HOU,107,ATL,117,240,42,98,0.429,9,35,0.257,14,15,0.933,15,39,54,25,4,3,16,20,107,,0.511,0.474,0.357,0.153,30.6,90.7,58.7,59.5,3.9,4.6,13.3,100,104.0,113.7,45,90,0.5,7,25,0.28,20,24,0.833,4,34,38,30,12,5,9,18,117,,0.582,0.539,0.278,0.267,9.3,69.4,41.3,66.7,11.7,7.9,8.2,100,114.3,104.5,False
2023,2022-10-19,OKC,108,MIN,115,240,38,99,0.384,14,45,0.311,18,22,0.818,16,41,57,22,6,6,14,26,108,,0.497,0.455,0.455,0.222,28.1,74.5,50.9,57.9,5.7,10.7,11.4,100,103.0,109.7,39,94,0.415,10,38,0.263,27,33,0.818,14,41,55,25,6,5,14,21,115,,0.53,0.468,0.404,0.351,25.5,71.9,49.1,64.1,5.7,9.3,11.4,100,110.2,103.5,False
2023,2022-10-19,NYK,112,MEM,115,265,44,109,0.404,9,37,0.243,15,18,0.833,18,36,54,28,7,5,12,26,112,,0.479,0.445,0.339,0.165,29.0,64.3,45.8,63.6,6.6,8.6,9.3,100,105.2,108.0,42,108,0.389,17,50,0.34,14,23,0.609,20,44,64,27,6,7,14,17,115,,0.487,0.468,0.463,0.213,35.7,71.0,54.2,64.3,5.6,9.7,10.6,100,107.5,104.7,False
2023,2022-10-19,SAS,102,CHO,129,240,40,99,0.404,7,34,0.206,15,21,0.714,14,30,44,22,8,8,15,19,102,,0.471,0.439,0.343,0.212,27.5,68.2,46.3,55.0,7.7,12.3,12.2,100,98.3,124.3,48,94,0.511,13,29,0.448,20,23,0.87,14,37,51,26,7,10,15,20,129,,0.619,0.58,0.309,0.245,31.8,72.5,53.7,54.2,6.7,15.4,12.6,100,124.3,98.3,False
2023,2022-10-19,CHO,129,SAS,102,240,48,94,0.511,13,29,0.448,20,23,0.87,14,37,51,26,7,10,15,20,129,,0.619,0.58,0.309,0.245,31.8,72.5,53.7,54.2,6.7,15.4,12.6,100,124.3,98.3,40,99,0.404,7,34,0.206,15,21,0.714,14,30,44,22,8,8,15,19,102,,0.471,0.439,0.343,0.212,27.5,68.2,46.3,55.0,7.7,12.3,12.2,100,98.3,124.3,True
2023,2022-10-19,ORL,109,DET,113,240,42,86,0.488,11,30,0.367,14,19,0.737,10,38,48,21,5,5,18,24,109,,0.578,0.552,0.349,0.221,25.6,76.0,53.9,50.0,5.0,8.9,16.0,100,108.3,112.3,40,94,0.426,14,38,0.368,19,24,0.792,12,29,41,31,11,4,13,21,113,,0.54,0.5,0.404,0.255,24.0,74.4,46.1,77.5,10.9,7.1,11.1,100,111.7,107.8,False
2023,2022-10-19,CLE,105,TOR,108,240,38,77,0.494,10,28,0.357,19,23,0.826,6,32,38,25,5,5,17,21,105,,0.603,0.558,0.364,0.299,17.1,72.7,48.1,65.8,5.2,8.9,16.3,100,108.7,111.8,36,86,0.419,13,30,0.433,23,32,0.719,12,29,41,19,15,4,13,23,108,,0.54,0.494,0.349,0.372,27.3,82.9,51.9,52.8,15.5,8.2,11.5,100,111.8,108.7,False
2023,2022-10-19,TOR,108,CLE,105,240,36,86,0.419,13,30,0.433,23,32,0.719,12,29,41,19,15,4,13,23,108,,0.54,0.494,0.349,0.372,27.3,82.9,51.9,52.8,15.5,8.2,11.5,100,111.8,108.7,38,77,0.494,10,28,0.357,19,23,0.826,6,32,38,25,5,5,17,21,105,,0.603,0.558,0.364,0.299,17.1,72.7,48.1,65.8,5.2,8.9,16.3,100,108.7,111.8,True
2023,2022-10-19,DET,113,ORL,109,240,40,94,0.426,14,38,0.368,19,24,0.792,12,29,41,31,11,4,13,21,113,,0.54,0.5,0.404,0.255,24.0,74.4,46.1,77.5,10.9,7.1,11.1,100,111.7,107.8,42,86,0.488,11,30,0.367,14,19,0.737,10,38,48,21,5,5,18,24,109,,0.578,0.552,0.349,0.221,25.6,76.0,53.9,50.0,5.0,8.9,16.0,100,108.3,112.3,True
2023,2022-10-19,SAC,108,POR,115,240,39,85,0.459,17,44,0.386,13,19,0.684,4,37,41,27,8,5,16,25,108,,0.578,0.559,0.518,0.224,10.8,77.1,48.2,69.2,7.9,8.3,14.6,100,106.2,113.0,39,88,0.443,11,28,0.393,26,33,0.788,11,33,44,20,11,2,11,17,115,,0.561,0.506,0.318,0.375,22.9,89.2,51.8,51.3,10.9,4.9,9.7,100,113.6,106.7,False
2023,2022-10-19,MIN,115,OKC,108,240,39,94,0.415,10,38,0.263,27,33,0.818,14,41,55,25,6,5,14,21,115,,0.53,0.468,0.404,0.351,25.5,71.9,49.1,64.1,5.7,9.3,11.4,100,110.2,103.5,38,99,0.384,14,45,0.311,18,22,0.818,16,41,57,22,6,6,14,26,108,,0.497,0.455,0.455,0.222,28.1,74.5,50.9,57.9,5.7,10.7,11.4,100,103.0,109.7,True
2023,2022-10-19,MEM,115,NYK,112,265,42,108,0.389,17,50,0.34,14,23,0.609,20,44,64,27,6,7,14,17,115,,0.487,0.468,0.463,0.213,35.7,71.0,54.2,64.3,5.6,9.7,10.6,100,107.5,104.7,44,109,0.404,9,37,0.243,15,18,0.833,18,36,54,28,7,5,12,26,112,,0.479,0.445,0.339,0.165,29.0,64.3,45.8,63.6,6.6,8.6,9.3,100,105.2,108.0,True
